dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
a1,2,0,10,98.17425814164945,0.8372173003112008,0.0,495.400765191574,0.12256733647355855,3,20.829874753952026
a1,2,1,10,98.17425814164945,0.8372173003112008,0.0,499.204787427611,0.12256733647355855,3,20.829874753952026
a1,2,2,10,98.17425814164945,0.07365974443918395,149.3849206349183,503.9930617743047,0.6298369389015441,31,20.829874753952026
a1,2,3,10,98.17425814164945,0.638535713141217,0.4539682539659093,506.4116839202786,0.1513992161216213,4,20.829874753952026
a1,2,4,10,98.17425814164945,0.4223815950278143,3.719047619045276,510.39716514664156,0.2840474080242632,5,20.829874753952026
a1,2,5,10,98.17425814164945,0.4999639815905353,2.820238095235708,511.8406002256469,0.21759305816604155,5,20.829874753952026
a1,2,6,10,98.17425814164945,0.07558960168380591,119.9023809523786,513.3648619529455,0.6415910767380065,27,20.829874753952026
a1,2,7,10,98.17425814164945,0.4999639815905353,2.820238095235708,517.1782511241537,0.21759305816604155,5,20.829874753952026
a1,2,8,10,98.17425814164945,0.5623399963211198,2.3662698412674663,517.7642136249697,0.2087415423495506,4,20.829874753952026
a1,2,9,10,98.17425814164945,0.0738282329639668,142.1960317460294,519.0617243360989,0.6300052034239618,30,20.829874753952026
a1,2,10,10,98.17425814164945,0.6128500493320918,1.8773809523786085,519.5467280578534,0.17034590179559228,5,20.829874753952026
a1,2,11,10,98.17425814164945,0.07513236868305082,128.95039682539445,519.6575599979957,0.6430801310229436,27,20.829874753952026
a1,2,12,10,98.17425814164945,0.5623399963211198,2.3662698412674663,520.624798738211,0.2087415423495506,4,20.829874753952026
a1,2,13,10,98.17425814164945,0.07601049016865677,114.4603174603151,521.0579908116634,0.6433789366745672,25,20.829874753952026
a1,2,14,10,98.17425814164945,0.22791158445140275,14.805952380949993,521.4075019992714,0.4252228234445305,8,20.829874753952026
a1,2,15,10,98.17425814164945,0.3966959312186891,5.142460317457974,521.7732571930771,0.32876066160406725,6,20.829874753952026
a1,2,16,10,98.17425814164945,0.36805766175949006,6.085317460315074,521.8436169976599,0.3285971210827497,6,20.829874753952026
a1,2,17,10,98.17425814164945,0.07782138517566388,111.12222222221986,522.1168940114972,0.6486091838599808,25,20.829874753952026
a1,2,18,10,98.17425814164945,0.3423719979503649,7.508730158727772,522.2394014014865,0.38473898813414603,7,20.829874753952026
a1,2,19,10,98.17425814164945,0.31516408301896603,8.881746031743644,522.4087551495987,0.315165510279297,6,20.829874753952026
a1,2,20,10,98.17425814164945,0.2894784192098408,10.305158730156343,522.9263458528151,0.3689851159623239,7,20.829874753952026
a1,2,21,10,98.17425814164945,0.27877594162934505,12.671428571426194,522.9593016161484,0.3986306198486526,8,20.829874753952026
a1,2,22,10,98.17425814164945,0.31516408301896603,8.881746031743644,523.7665965543699,0.315165510279297,6,20.829874753952026
a1,2,23,10,98.17425814164945,0.3423719979503649,7.508730158727772,523.8369664127267,0.38473898813414603,7,20.829874753952026
a1,2,24,10,98.17425814164945,0.253597248260528,13.382539682537287,523.8720086398546,0.3583294904970623,7,20.829874753952026
a1,2,25,10,98.17425814164945,0.21074900731476282,18.373015873013486,523.969648831557,0.48288898584363094,9,20.829874753952026
a1,2,26,10,98.17425814164945,0.08713564610022989,76.57063492063253,524.001204998222,0.6847793156876171,19,20.829874753952026
a1,2,27,10,98.17425814164945,0.3966959312186891,5.142460317457974,524.289501841693,0.32876066160406725,6,20.829874753952026
a1,2,28,10,98.17425814164945,0.36805766175949006,6.085317460315074,524.5391186894385,0.3285971210827497,6,20.829874753952026
a1,2,29,10,98.17425814164945,0.08161831300798861,92.10515873015638,524.6104663471356,0.6806568461467258,21,20.829874753952026
a1,2,30,10,98.17425814164945,0.4223815950278143,3.719047619045276,524.630985262078,0.2840474080242632,5,20.829874753952026
a1,2,31,10,98.17425814164945,0.07493207375638135,131.03293650793415,524.654978615745,0.6400576000286132,28,20.829874753952026
a1,2,32,10,98.17425814164945,0.253597248260528,13.382539682537287,524.6564897856331,0.3583294904970623,7,20.829874753952026
a1,2,33,10,98.17425814164945,0.07906093591565824,106.24841269841036,524.712245063284,0.6614058213406364,24,20.829874753952026
a1,2,34,10,98.17425814164945,0.6128500493320918,1.8773809523786085,524.7422315834949,0.17034590179559228,5,20.829874753952026
a1,2,35,10,98.17425814164945,0.638535713141217,0.4539682539659093,524.7708951529924,0.1513992161216213,4,20.829874753952026
a1,2,36,10,98.17425814164945,0.0812171333632868,95.41944444444208,524.8186857821627,0.6731842912894147,22,20.829874753952026
a1,2,37,10,98.17425814164945,0.07906098179031477,102.3464285714262,524.8462763599639,0.6604265335139435,23,20.829874753952026
a1,2,38,10,98.17425814164945,0.0836026717338102,86.40277777777541,524.8543375186481,0.6805140318513377,21,20.829874753952026
a1,2,39,10,98.17425814164945,0.09138843968188727,66.44801587301347,524.9217868358487,0.6771175932163052,17,20.829874753952026
a1,2,40,10,98.17425814164945,0.21720910687090694,17.17222222221986,524.9217868358487,0.46291728573831475,9,20.829874753952026
a1,2,41,10,98.17425814164945,0.0938930359710179,63.78134920634683,524.9503098042807,0.6673855891351816,17,20.829874753952026
a1,2,42,10,98.17425814164945,0.0884366839540807,73.13134920634681,524.9716047433155,0.6853023704319159,18,20.829874753952026
a1,2,43,10,98.17425814164945,0.19523129374089862,18.962301587299194,525.194646313812,0.5056888226623883,9,20.829874753952026
a1,2,44,10,98.17425814164945,0.16546174059140123,25.605555555553178,525.2091071247205,0.5715069679828972,11,20.829874753952026
a1,2,45,10,98.17425814164945,0.1613164479421099,26.954365079362685,525.2163388936845,0.5353108661045392,10,20.829874753952026
a1,2,46,10,98.17425814164945,0.11796165081514626,42.798412698410345,525.2165843268978,0.625735297477451,13,20.829874753952026
a1,2,47,10,98.17425814164945,0.13049850080086445,35.3388888888865,525.224803340134,0.6001383412483103,13,20.829874753952026
a1,2,48,10,98.17425814164945,0.10509015259885139,50.66507936507698,525.228104072881,0.6214921324486525,15,20.829874753952026
a1,2,49,10,98.17425814164945,0.10016556911049834,52.23809523809287,525.2392025759211,0.6368153169893922,15,20.829874753952026
a1,2,50,10,98.17425814164945,0.0738927720683999,137.72619047618812,525.2490030662228,0.6308050965012243,29,20.829874753952026
a1,2,51,10,98.17425814164945,0.22686319045965464,16.547222222219848,525.5730432842123,0.41804134783729247,9,20.829874753952026
a1,2,52,10,98.17425814164945,0.19418289974915046,20.703571428569035,525.5751664183745,0.49780008225953454,10,20.829874753952026
a1,2,53,10,98.17425814164945,0.1751158241801489,24.980555555553167,525.5774313527528,0.5102651317746129,11,20.829874753952026
a1,2,54,10,98.17425814164945,0.1548736779069244,28.021825396823015,525.580501776969,0.5768880960123598,11,20.829874753952026
a1,2,55,10,98.17425814164945,0.18452881616040281,21.32857142856905,525.5883637657612,0.556271570237203,10,20.829874753952026
a1,2,56,10,98.17425814164945,0.12557391731251139,36.91190476190239,525.6043209792149,0.6136694764819478,13,20.829874753952026
a1,2,57,10,98.17425814164945,0.09054695437893355,69.59563492063253,525.6212534947265,0.677027355083423,18,20.829874753952026
a1,2,58,10,98.17425814164945,0.09622833922864911,58.34404761904521,525.6230022153565,0.6452317104560161,16,20.829874753952026
a1,2,59,10,98.17425814164945,0.13154689479261256,33.59761904761666,525.6366551282923,0.6088882802517249,12,20.829874753952026
a1,2,60,10,98.17425814164945,0.12398349811337607,38.42420634920398,525.6380135988322,0.5974572046891617,13,20.829874753952026
a1,2,61,10,98.17425814164945,0.11039825413590978,47.62499999999762,525.6398434624303,0.6140748814344856,14,20.829874753952026
a1,2,62,10,98.17425814164945,0.11972379056806581,39.723015873013495,525.679967262319,0.6132355253075779,13,20.829874753952026
a1,2,63,10,98.17425814164945,0.08082648626332381,99.48809523809285,525.6804981381199,0.666819907484793,23,20.829874753952026
a1,2,64,10,98.17425814164945,0.09911717511875023,53.97936507936268,525.6797901162657,0.6271773765438081,16,20.829874753952026
