dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
dim032,1,0,10,96.875,0.08447050177362407,261.11865079364946,9068.989318166241,0.8820160213482565,31,21.098047494888306
dim032,1,1,10,96.875,0.08447050177362407,261.11865079364946,9068.99332260371,0.8820160213482565,31,21.098047494888306
dim032,1,2,10,96.875,0.08594009055376542,0.0,9069.006606109942,1.0,16,21.098047494888306
dim032,1,3,10,96.875,0.08594009055376542,0.0,9069.013557883694,1.0,16,21.098047494888306
dim032,1,4,10,96.875,0.08450593580364568,251.4142857142844,9069.015568373603,0.8845451320054153,29,21.098047494888306
dim032,1,5,10,96.875,0.08566022751748043,27.530952380951064,9069.01635251888,0.9895986090808624,17,21.098047494888306
dim032,1,6,10,96.875,0.08571719822622231,27.1948412698399,9069.027588274716,0.9851406847509766,20,21.098047494888306
dim032,1,7,10,96.875,0.08448366881553039,253.9472222222209,9069.028993916027,0.8834624732667338,30,21.098047494888306
dim032,1,8,10,96.875,0.0845915880660718,218.62936507936374,9069.032076773032,0.899195865399626,27,21.098047494888306
dim032,1,9,10,96.875,0.08475725018899595,177.02539682539552,9069.032974816788,0.9195395622865067,28,21.098047494888306
dim032,1,10,10,96.875,0.08488609771829284,146.24920634920497,9069.034029506116,0.9297147589502694,26,21.098047494888306
dim032,1,11,10,96.875,0.08473860756945478,181.8075396825383,9069.034480875573,0.9158748742502412,27,21.098047494888306
dim032,1,12,10,96.875,0.0858418894180823,9.565476190474865,9069.036722723751,0.9958720698995969,19,21.098047494888306
dim032,1,13,10,96.875,0.08541278181142496,56.91031746031612,9069.036986456296,0.9734283238091046,21,21.098047494888306
dim032,1,14,10,96.875,0.0849411277432497,141.44087301587166,9069.03757385301,0.9391905182119243,25,21.098047494888306
dim032,1,15,10,96.875,0.08506219137683928,114.52619047618913,9069.038604858757,0.9493124796297849,26,21.098047494888306
dim032,1,16,10,96.875,0.08485819819118691,153.59563492063353,9069.047576199606,0.9268409407671432,28,21.098047494888306
dim032,1,17,10,96.875,0.08466550084142972,195.16706349206217,9069.048036830067,0.9080741771745064,29,21.098047494888306
dim032,1,18,10,96.875,0.08451105823195085,239.26626984126855,9069.048638533099,0.8920718364796555,30,21.098047494888306
dim032,1,19,10,96.875,0.08576582825921715,17.049206349205033,9069.049608483641,0.9927857333457996,21,21.098047494888306
