dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
fruit,3,0,10,96.66295677867001,11.244595425474289,268.3107142857141,3665.079644149806,0.47581340854875165,20,15.625317573547363
fruit,3,1,10,96.66295677867001,34.0,0.0,5229.910409558321,0.0,1,15.625317573547363
fruit,3,2,10,96.66295677867001,34.0,0.0,6730.77992659094,0.0,1,15.625317573547363
fruit,3,3,10,96.66295677867001,24.05345209835759,10.87341269841248,6956.313322415959,0.19678233415142796,2,15.625317573547363
fruit,3,4,10,96.66295677867001,30.432782329840144,9.440476190475966,7058.078358159346,0.11632359614938227,2,15.625317573547363
fruit,3,5,10,96.66295677867001,19.438860166964368,18.582142857142593,7109.267628950766,0.36254879454966615,3,15.625317573547363
fruit,3,6,10,96.66295677867001,23.89899684406674,18.13095238095209,7114.630764646645,0.2008576187765162,3,15.625317573547363
fruit,3,7,10,96.66295677867001,33.36058646406334,8.12777777777756,7121.897564578866,0.004649047791623424,2,15.625317573547363
fruit,3,8,10,96.66295677867001,30.432782329840144,9.440476190475966,7136.337638352404,0.11632359614938227,2,15.625317573547363
fruit,3,9,10,96.66295677867001,15.199261837954172,50.87777777777747,7136.944321494105,0.6216295475327014,4,15.625317573547363
fruit,3,10,10,96.66295677867001,17.644991463152373,48.696031746031466,7179.803326234599,0.5125471674220411,4,15.625317573547363
fruit,3,11,10,96.66295677867001,11.550430917512204,225.3559523809521,7181.12639226564,0.5490484258975369,18,15.625317573547363
fruit,3,12,10,96.66295677867001,11.49767467456275,244.26904761904734,7183.143103378928,0.5033216095378451,17,15.625317573547363
fruit,3,13,10,96.66295677867001,11.372680291775195,252.68968253968234,7183.714900593364,0.4845428934588733,18,15.625317573547363
fruit,3,14,10,96.66295677867001,17.722649356672903,44.63253968253942,7193.038879901133,0.5075149906968166,3,15.625317573547363
fruit,3,15,10,96.66295677867001,11.342776034889617,261.9829365079362,7195.294224845071,0.49426284887996147,19,15.625317573547363
fruit,3,16,10,96.66295677867001,14.889672244122506,60.51230158730136,7196.6905769507475,0.6198736392380768,5,15.625317573547363
fruit,3,17,10,96.66295677867001,18.261901994325775,43.08492063492038,7197.482051173378,0.3638056372527678,6,15.625317573547363
fruit,3,18,10,96.66295677867001,11.82746552563106,196.31071428571406,7198.571834375011,0.5652917765116218,16,15.625317573547363
fruit,3,19,10,96.66295677867001,19.411054150342494,22.57142857142831,7218.243202050746,0.35829697813655004,4,15.625317573547363
fruit,3,20,10,96.66295677867001,15.087538423921167,57.92936507936479,7232.804254916149,0.624654287744659,5,15.625317573547363
fruit,3,21,10,96.66295677867001,18.624031436382857,28.827777777777566,7233.626972155924,0.3680386363435342,4,15.625317573547363
fruit,3,22,10,96.66295677867001,19.189101648212933,26.30714285714264,7234.316762038904,0.3600742685413017,4,15.625317573547363
fruit,3,23,10,96.66295677867001,33.854628962020094,6.5321428571426585,7270.365936728574,-0.0011876617952340982,2,15.625317573547363
fruit,3,24,10,96.66295677867001,12.477364263249852,143.0642857142855,7270.639037860675,0.6229083543253531,11,15.625317573547363
fruit,3,25,10,96.66295677867001,11.959048931969205,181.78293650793626,7271.723303148916,0.5717264405093921,14,15.625317573547363
fruit,3,26,10,96.66295677867001,12.031599901257232,178.72182539682515,7273.02686479505,0.5744296198767261,13,15.625317573547363
fruit,3,27,10,96.66295677867001,14.381866880970454,61.12341269841243,7273.6645342119,0.6278936391188596,5,15.625317573547363
fruit,3,28,10,96.66295677867001,12.22241051095871,166.07499999999976,7275.52264375171,0.6022530901965731,12,15.625317573547363
fruit,3,29,10,96.66295677867001,12.126879188312856,174.32420634920607,7275.51296854153,0.5656562546369065,13,15.625317573547363
fruit,3,30,10,96.66295677867001,11.854235964156084,190.80277777777755,7276.409877408292,0.5659833637149569,15,15.625317573547363
fruit,3,31,10,96.66295677867001,11.782079621291087,201.39484126984095,7276.913680054422,0.5688667621806593,16,15.625317573547363
fruit,3,32,10,96.66295677867001,12.816291514283938,128.8928571428569,7277.41876063493,0.593371277712218,11,15.625317573547363
fruit,3,33,10,96.66295677867001,15.139430762873939,52.78730158730131,7330.684682459729,0.6219348084725054,4,15.625317573547363
fruit,3,34,10,96.66295677867001,11.694178263362664,206.94722222222194,7333.498068422405,0.5512147450925261,15,15.625317573547363
fruit,3,35,10,96.66295677867001,12.99894721605274,113.70674603174581,7337.072872103901,0.6706205310886318,9,15.625317573547363
fruit,3,36,10,96.66295677867001,12.97217677752772,119.21468253968231,7337.223451778152,0.6700843977889577,10,15.625317573547363
fruit,3,37,10,96.66295677867001,13.188753601425978,109.99246031746009,7337.315355989926,0.6546538084798555,9,15.625317573547363
fruit,3,38,10,96.66295677867001,18.596225419760987,32.81706349206329,7337.375638811129,0.363732954006415,5,15.625317573547363
fruit,3,39,10,96.66295677867001,18.346466901009556,40.54206349206326,7337.519599248422,0.36121873703756646,6,15.625317573547363
fruit,3,40,10,96.66295677867001,12.768677088695755,131.8615079365077,7337.8048344047575,0.6431581230351456,11,15.625317573547363
fruit,3,41,10,96.66295677867001,11.41314374425739,248.319841269841,7337.803455916321,0.49931820991412545,18,15.625317573547363
fruit,3,42,10,96.66295677867001,12.887872659295272,124.82936507936485,7337.819102317737,0.5905957697034582,10,15.625317573547363
fruit,3,43,10,96.66295677867001,11.934894288320447,187.088095238095,7338.769376239763,0.5750389524114853,15,15.625317573547363
fruit,3,44,10,96.66295677867001,13.617377357868767,87.50714285714261,7359.036112873533,0.6210808327104994,7,15.625317573547363
fruit,3,45,10,96.66295677867001,11.269067111365729,263.24087301587275,7359.1837567863295,0.4831243709521898,19,15.625317573547363
fruit,3,46,10,96.66295677867001,13.589571341246893,91.49642857142832,7359.265602862566,0.6158748486135162,8,15.625317573547363
fruit,3,47,10,96.66295677867001,12.286437893983866,161.62976190476164,7362.593271725796,0.6236159766840186,15,15.625317573547363
fruit,3,48,10,96.66295677867001,14.070781308335706,70.7579365079363,7366.101696317817,0.62601853605057,6,15.625317573547363
fruit,3,49,10,96.66295677867001,33.36058646406334,8.12777777777756,7366.43906424587,0.004649047791623424,2,15.625317573547363
fruit,3,50,10,96.66295677867001,18.374272917631426,36.552777777777536,7371.8788897253235,0.3655460137194989,5,15.625317573547363
fruit,3,51,10,96.66295677867001,14.320539827087138,63.03293650793627,7372.241064359746,0.6280747574974284,5,15.625317573547363
fruit,3,52,10,96.66295677867001,13.771818420820539,86.15634920634893,7412.298051640992,0.6480954150647064,8,15.625317573547363
fruit,3,53,10,96.66295677867001,11.693326273757217,211.62023809523785,7417.348336046438,0.5565601923019298,18,15.625317573547363
fruit,3,54,10,96.66295677867001,11.753199338140096,203.99404761904734,7423.128222715281,0.564331433637986,16,15.625317573547363
fruit,3,55,10,96.66295677867001,14.269044386417931,68.17499999999974,7423.204073426861,0.6307840084626684,6,15.625317573547363
fruit,3,56,10,96.66295677867001,18.511660513077207,35.359920634920414,7423.705954726658,0.36632408264232597,5,15.625317573547363
fruit,3,57,10,96.66295677867001,24.02564608173571,14.862698412698197,7424.881612248217,0.19307445113649574,3,15.625317573547363
fruit,3,58,10,96.66295677867001,12.345202337861318,156.48769841269817,7425.470766153809,0.6211153363512324,14,15.625317573547363
fruit,3,59,10,96.66295677867001,12.19568151101724,169.44523809523778,7428.694246852367,0.6049073948058681,12,15.625317573547363
fruit,3,60,10,96.66295677867001,13.07868326899675,112.18253968253947,7430.058285724919,0.6156693062390987,9,15.625317573547363
fruit,3,61,10,96.66295677867001,12.45059382472483,148.572222222222,7430.057838626975,0.6223136786344501,12,15.625317573547363
fruit,3,62,10,96.66295677867001,11.683403705360908,213.52341269841244,7432.012249298939,0.5524266231205516,17,15.625317573547363
fruit,3,63,10,96.66295677867001,14.292733810465265,67.02222222222198,7432.491115465983,0.6230540252241117,6,15.625317573547363
fruit,3,64,10,96.66295677867001,11.622008653985686,216.5765873015871,7432.7803359157915,0.5496025000576402,18,15.625317573547363
fruit,3,65,10,96.66295677867001,12.12903626685256,171.05396825396795,7432.78909781318,0.6035746667486958,13,15.625317573547363
fruit,3,66,10,96.66295677867001,13.409455612098162,95.47182539682518,7432.8557377977395,0.6374394521763905,8,15.625317573547363
fruit,3,67,10,96.66295677867001,13.855134735554799,79.38333333333313,7433.395829755055,0.6206992025145956,6,15.625317573547363
fruit,3,68,10,96.66295677867001,12.685286009020457,135.09960317460292,7433.404518149988,0.6057367516991277,10,15.625317573547363
fruit,3,69,10,96.66295677867001,14.007541888628353,78.45277777777758,7448.37652642362,0.6289246970162621,7,15.625317573547363
fruit,3,70,10,96.66295677867001,12.537829284062541,139.62301587301562,7449.727060015861,0.6543821551157784,12,15.625317573547363
fruit,3,71,10,96.66295677867001,13.318140977623463,102.9055555555553,7449.675562044763,0.6435313035881223,9,15.625317573547363
fruit,3,72,10,96.66295677867001,11.576689966840249,221.98571428571404,7449.810324520249,0.5469877832801334,18,15.625317573547363
fruit,3,73,10,96.66295677867001,19.189101648212933,26.30714285714264,7449.817032381665,0.3600742685413017,4,15.625317573547363
fruit,3,74,10,96.66295677867001,11.47311597492569,246.1599206349204,7450.116534957762,0.4963221487385769,17,15.625317573547363
fruit,3,75,10,96.66295677867001,12.641404434426306,135.9253968253966,7454.7096288834655,0.6478940946386155,11,15.625317573547363
fruit,3,76,10,96.66295677867001,17.694843340051033,48.62182539682513,7455.004587018317,0.5028192344886812,4,15.625317573547363
fruit,3,77,10,96.66295677867001,12.614675434484838,139.29563492063465,7455.090778986329,0.6507803440803186,11,15.625317573547363
fruit,3,78,10,96.66295677867001,12.379012679713494,152.63571428571404,7455.195240108269,0.6254029671702447,13,15.625317573547363
fruit,3,79,10,96.66295677867001,12.417533942399666,152.42420634920612,7456.458897716064,0.6181035163077506,13,15.625317573547363
fruit,3,80,10,96.66295677867001,13.791278417553766,82.78611111111094,7456.546149315924,0.644946797735922,8,15.625317573547363
fruit,3,81,10,96.66295677867001,23.965174361781347,16.01547619047594,7456.806014127116,0.19669120798492887,3,15.625317573547363
fruit,3,82,10,96.66295677867001,11.902209491300752,188.6162698412696,7456.811454096796,0.5677122386038896,14,15.625317573547363
fruit,3,83,10,96.66295677867001,13.248705734804174,105.98174603174579,7457.076609683323,0.6726135627636639,8,15.625317573547363
fruit,3,84,10,96.66295677867001,11.603351749587182,218.2904761904759,7457.390883299007,0.5507568480866919,18,15.625317573547363
fruit,3,85,10,96.66295677867001,13.389722122634797,98.84206349206323,7459.772569774616,0.6405113713271114,8,15.625317573547363
fruit,3,86,10,96.66295677867001,14.060527217207687,72.91190476190451,7460.375737296008,0.6286040033577089,7,15.625317573547363
fruit,3,87,10,96.66295677867001,33.8745325510493,3.989285714285544,7460.5487238939995,-0.0008140836530200678,2,15.625317573547363
fruit,3,88,10,96.66295677867001,12.90593225063736,122.29365079365054,7460.679301100173,0.6480270816740007,9,15.625317573547363
fruit,3,89,10,96.66295677867001,13.337874467086827,99.53531746031724,7460.8799857299755,0.6404152372595409,9,15.625317573547363
fruit,3,90,10,96.66295677867001,12.45059382472483,148.572222222222,7461.365149827506,0.6223136786344501,12,15.625317573547363
fruit,3,91,10,96.66295677867001,13.843399565831875,82.09285714285693,7462.059100879582,0.6451301517976331,7,15.625317573547363
fruit,3,92,10,96.66295677867001,13.585825801197425,94.53928571428544,7463.198340235567,0.6204652863537006,9,15.625317573547363
fruit,3,93,10,96.66295677867001,14.019285867666499,75.89999999999976,7463.256016804619,0.6287223528121009,7,15.625317573547363
fruit,3,94,10,96.66295677867001,33.8745325510493,3.989285714285544,7470.630764233712,-0.0008140836530200678,2,15.625317573547363
fruit,3,95,10,96.66295677867001,11.589988022671207,220.64007936507915,7470.407632951051,0.5501691970819634,19,15.625317573547363
fruit,3,96,10,96.66295677867001,12.318473337919848,159.85793650793622,7470.790463859931,0.6238487050237599,14,15.625317573547363
fruit,3,97,10,96.66295677867001,13.286605014767355,104.2178571428569,7473.335015518318,0.599515738148402,8,15.625317573547363
fruit,3,98,10,96.66295677867001,12.967728635459787,121.56944444444417,7473.133047500294,0.632169850194176,9,15.625317573547363
fruit,3,99,10,96.66295677867001,12.330201884868506,158.18809523809503,7473.309459883296,0.6076850260352054,12,15.625317573547363
