dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
student,1,0,10,93.7742719363531,5.0,0.0,158.7063930254423,0.0,1,13.034402847290039
student,1,1,10,93.7742719363531,5.0,0.0,163.62862473653408,0.0,1,13.034402847290039
student,1,2,10,93.7742719363531,2.727369591029041,159.85793650793616,178.53130298788057,0.1037800402758665,18,13.034402847290039
student,1,3,10,93.7742719363531,2.727369591029041,159.85793650793616,189.19084998294477,0.1037800402758665,18,13.034402847290039
student,1,4,10,93.7742719363531,4.789080875173469,5.588095238094929,199.0099141796407,0.0061304569302625175,2,13.034402847290039
student,1,5,10,93.7742719363531,4.603672095606787,10.766269841269521,205.10597043581294,0.014129367407594033,3,13.034402847290039
student,1,6,10,93.7742719363531,4.789080875173469,5.588095238094929,210.47365348630507,0.0061304569302625175,2,13.034402847290039
student,1,7,10,93.7742719363531,4.541166690026238,16.52738095238064,214.4681691283526,0.018134638131071683,4,13.034402847290039
student,1,8,10,93.7742719363531,4.089432652053376,41.71031746031716,215.56888963448978,0.004185706435577255,6,13.034402847290039
student,1,9,10,93.7742719363531,4.11100465694692,37.70833333333298,218.37028200145488,0.030895080977361714,6,13.034402847290039
student,1,10,10,93.7742719363531,3.909068477477982,50.527777777777466,219.30926213791054,0.021334306390129516,7,13.034402847290039
student,1,11,10,93.7742719363531,3.8933008657652204,55.41666666666636,221.90938629375245,0.028614397347536662,7,13.034402847290039
student,1,12,10,93.7742719363531,4.603672095606787,10.766269841269521,223.21600112806235,0.014129367407594033,3,13.034402847290039
student,1,13,10,93.7742719363531,3.547892121544443,83.70714285714253,224.04568152550243,0.011619755937143471,10,13.034402847290039
student,1,14,10,93.7742719363531,3.400971190364893,93.46666666666634,224.25512527154245,0.0306634586337626,11,13.034402847290039
student,1,15,10,93.7742719363531,3.305205361718937,104.86547619047586,225.18124513729512,0.10798893899937091,10,13.034402847290039
student,1,16,10,93.7742719363531,3.9764336239378792,48.93769841269811,225.6129041141777,0.021048099303201066,6,13.034402847290039
student,1,17,10,93.7742719363531,4.391340819472651,24.85992063492032,225.84912705291194,0.02511048893848616,5,13.034402847290039
student,1,18,10,93.7742719363531,3.3176022736491846,100.55793650793618,226.26019151458374,0.028465767803575872,11,13.034402847290039
student,1,19,10,93.7742719363531,2.923241605548436,136.19047619047586,226.6603011598321,0.07780796446527392,14,13.034402847290039
student,1,20,10,93.7742719363531,3.5042341072824543,86.74246031746,226.86444694217965,0.11988165534569403,10,13.034402847290039
student,1,21,10,93.7742719363531,3.1001437497294697,121.06746031745999,226.97795986810425,0.06067997355529151,12,13.034402847290039
student,1,22,10,93.7742719363531,4.452564976183036,19.0988095238092,227.12778271051937,0.020228007975823838,4,13.034402847290039
student,1,23,10,93.7742719363531,4.047555835462372,43.15833333333299,227.19447471745983,0.037099990294944776,7,13.034402847290039
student,1,24,10,93.7742719363531,4.031669363999743,47.47142857142827,227.35916242714723,0.008418098912662266,7,13.034402847290039
student,1,25,10,93.7742719363531,3.5644768142299794,78.73253968253937,227.4659513270538,0.059067383520162484,10,13.034402847290039
student,1,26,10,93.7742719363531,4.541166690026238,16.52738095238064,227.6115942415815,0.018134638131071683,4,13.034402847290039
student,1,27,10,93.7742719363531,3.4468488701768827,92.17738095238064,227.68958031218878,0.03289798997080638,10,13.034402847290039
student,1,28,10,93.7742719363531,4.420617226143366,20.35039682539645,227.7341319622798,0.030105881401279764,4,13.034402847290039
student,1,29,10,93.7742719363531,4.194539984285137,34.82579365079331,227.7356517596695,0.028263677072801092,6,13.034402847290039
student,1,30,10,93.7742719363531,3.8498546554138677,55.97777777777747,227.76176589283406,0.027638173261849523,8,13.034402847290039
student,1,31,10,93.7742719363531,4.2505120639972835,33.47499999999967,227.85340495172798,0.010796554292788562,5,13.034402847290039
student,1,32,10,93.7742719363531,2.944974143874225,132.7630952380949,227.83174091482977,0.06971932988267952,14,13.034402847290039
student,1,33,10,93.7742719363531,2.982116642556747,131.17499999999967,227.79795914557855,0.0732983724032581,14,13.034402847290039
student,1,34,10,93.7742719363531,3.1237043165678795,118.4734126984124,227.8052813491284,0.05917842164376996,12,13.034402847290039
student,1,35,10,93.7742719363531,3.842845075445873,59.37460317460288,227.85091635790738,0.042486204593395596,7,13.034402847290039
student,1,36,10,93.7742719363531,3.5091633465361607,84.19166666666634,227.86051497710287,0.05059180008890716,10,13.034402847290039
student,1,37,10,93.7742719363531,4.259359466471637,29.375793650793295,227.8457484152094,0.02304704977069387,5,13.034402847290039
student,1,38,10,93.7742719363531,3.006196790685509,129.560714285714,227.89282054624493,0.08240402252281968,12,13.034402847290039
student,1,39,10,93.7742719363531,3.006786171179068,126.97777777777746,227.90286184822241,0.08028449817275357,13,13.034402847290039
student,1,40,10,93.7742719363531,3.626494959408098,74.05039682539652,227.8651026459529,0.05013560028396055,9,13.034402847290039
student,1,41,10,93.7742719363531,2.808186553483302,148.1599206349203,227.85297601526247,0.07236873794631098,17,13.034402847290039
student,1,42,10,93.7742719363531,3.1641388112749,115.86111111111077,227.82833612130725,0.1169654089649659,13,13.034402847290039
student,1,43,10,93.7742719363531,3.205750601376024,111.69206349206316,227.80593302042627,0.031161849935005287,13,13.034402847290039
student,1,44,10,93.7742719363531,3.4540479380400324,88.01666666666635,227.8295965645122,0.02355424444331416,10,13.034402847290039
student,1,45,10,93.7742719363531,3.775479928985976,60.964682539682244,227.7904556880723,0.04281918295028065,8,13.034402847290039
student,1,46,10,93.7742719363531,3.137635314672673,117.48492063492031,227.78693958758484,0.12796204133016184,12,13.034402847290039
student,1,47,10,93.7742719363531,3.370535258402239,98.54166666666636,227.83492376188647,0.099124134879863,10,13.034402847290039
student,1,48,10,93.7742719363531,3.6505845039720755,71.10595238095206,227.85555405443966,0.04231248221981281,9,13.034402847290039
student,1,49,10,93.7742719363531,2.869025850730616,140.47063492063458,227.8434929254944,0.07016611573577335,15,13.034402847290039
student,1,50,10,93.7742719363531,3.732918103063871,66.1190476190473,227.82830070132678,0.02754812372650192,9,13.034402847290039
student,1,51,10,93.7742719363531,2.815671255373542,144.79484126984093,227.84631800273368,0.07760942755686387,16,13.034402847290039
student,1,52,10,93.7742719363531,2.78359779855319,151.74880952380917,227.83807500763382,0.10517311684282983,16,13.034402847290039
student,1,53,10,93.7742719363531,4.294264732972486,28.12420634920602,227.84983969785802,0.013734347227037688,5,13.034402847290039
student,1,54,10,93.7742719363531,3.1848167314577616,112.45317460317428,227.84147687596308,0.12094326029006872,12,13.034402847290039
student,1,55,10,93.7742719363531,3.261401271184897,105.24007936507903,227.84506340696416,0.036060450231917784,12,13.034402847290039
student,1,56,10,93.7742719363531,3.0401797273418985,126.06150793650761,227.83258198076928,0.06695382123715796,13,13.034402847290039
student,1,57,10,93.7742719363531,4.452564976183036,19.0988095238092,227.83670938021373,0.020228007975823838,4,13.034402847290039
student,1,58,10,93.7742719363531,2.734854292919281,156.4928571428568,227.84744161080752,0.10916978275019383,17,13.034402847290039
student,1,59,10,93.7742719363531,3.5959162871396115,76.55595238095205,227.8306398842737,0.049690042190337985,10,13.034402847290039
student,1,60,10,93.7742719363531,3.6897042256364703,68.2956349206346,227.83726565949345,0.03361000591400224,9,13.034402847290039
student,1,61,10,93.7742719363531,3.450122391997113,90.12499999999969,227.84209834321544,0.024891650443436768,10,13.034402847290039
student,1,62,10,93.7742719363531,3.0654715352995723,121.98373015872984,227.8457980861078,0.07232171906564855,12,13.034402847290039
student,1,63,10,93.7742719363531,3.6897042256364703,68.2956349206346,227.83463108817193,0.03361000591400224,9,13.034402847290039
student,1,64,10,93.7742719363531,4.35660053157782,25.80039682539646,227.87513846859906,0.035958027970346966,5,13.034402847290039
student,1,65,10,93.7742719363531,2.837329348184119,141.733333333333,227.85137078282855,0.08377354991204233,15,13.034402847290039
student,1,66,10,93.7742719363531,3.386097802261231,96.8595238095235,227.8426715346198,0.0416950356552966,11,13.034402847290039
