dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
vehicle,4,0,10,96.56192917913735,18.000000000000004,0.0,1149.326342339733,0.0,1,15.08482837677002
vehicle,4,1,10,96.56192917913735,18.000000000000004,0.0,2377.9338248736144,0.0,1,15.08482837677002
vehicle,4,2,10,96.56192917913735,5.717405058350763,219.96269841269697,2524.075733966457,0.1384794622903526,20,15.08482837677002
vehicle,4,3,10,96.56192917913735,5.717405058350763,219.96269841269697,2679.444612478376,0.1384794622903526,20,15.08482837677002
vehicle,4,4,10,96.56192917913735,10.878695428792676,36.41944444444296,2788.2491715137558,0.08932679053483122,2,15.08482837677002
vehicle,4,5,10,96.56192917913735,14.000179000437129,32.84880952380802,2807.046823148586,0.010084294854080378,3,15.08482837677002
vehicle,4,6,10,96.56192917913735,16.42491409358085,1.9388888888873792,2876.1064140002863,0.000620545354973709,2,15.08482837677002
vehicle,4,7,10,96.56192917913735,10.878695428792676,36.41944444444296,2918.494047137217,0.08932679053483122,2,15.08482837677002
vehicle,4,8,10,96.56192917913735,9.232192720978968,38.358333333331835,2935.8013492817227,0.08634499774906658,3,15.08482837677002
vehicle,4,9,10,96.56192917913735,15.062814160077581,10.397222222220744,2941.2148202308726,0.0020810993556254287,3,15.08482837677002
vehicle,4,10,10,96.56192917913735,16.296127223713,10.212301587300079,2952.7856933555004,0.0004419908874396253,3,15.08482837677002
vehicle,4,11,10,96.56192917913735,14.392273589381864,22.244841269839803,2962.6815149913064,0.002196452206149489,4,15.08482837677002
vehicle,4,12,10,96.56192917913735,14.788978746128532,20.639682539681047,2989.061695217997,0.004773540222200682,4,15.08482837677002
vehicle,4,13,10,96.56192917913735,8.70251189586126,46.81666666666515,2991.462134223615,0.09614300897567421,4,15.08482837677002
vehicle,4,14,10,96.56192917913735,5.860834607984422,203.3682539682525,3006.0471492934093,0.14610474577045854,18,15.08482837677002
vehicle,4,15,10,96.56192917913735,6.006623559372239,188.1821428571414,3009.221747139765,0.13533373631441387,18,15.08482837677002
vehicle,4,16,10,96.56192917913735,7.810848590542294,73.33134920634771,3016.270614686091,0.11847679096356031,5,15.08482837677002
vehicle,4,17,10,96.56192917913735,7.588541484420443,80.9869047619033,3020.8286895261363,0.12578610844685736,6,15.08482837677002
vehicle,4,18,10,96.56192917913735,5.810555441995634,208.25674603174454,3025.982727068568,0.14615282107885003,20,15.08482837677002
vehicle,4,19,10,96.56192917913735,6.539191201248553,130.95595238095098,3026.7706435168566,0.13937001432721696,9,15.08482837677002
vehicle,4,20,10,96.56192917913735,8.033995255809684,69.4333333333319,3027.6724388286493,0.09392852040528304,7,15.08482837677002
vehicle,4,21,10,96.56192917913735,6.943684379906217,118.89126984126841,3040.7635767492065,0.12448649045504247,11,15.08482837677002
vehicle,4,22,10,96.56192917913735,8.017483658554838,72.71230158730016,3050.8416310385774,0.09380548542336799,8,15.08482837677002
