dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
wine,5,0,10,92.50468311004138,13.000000000000002,0.0,530.1765299868839,0.0,1,5.561871767044067
wine,5,1,10,92.50468311004138,13.000000000000002,0.0,567.7650383033227,0.0,1,5.561871767044067
wine,5,2,10,92.50468311004138,4.978931284624983,96.79841269841285,571.6068039199005,0.31223335102500266,15,5.561871767044067
wine,5,3,10,92.50468311004138,4.978931284624983,96.79841269841285,582.5466001368602,0.31223335102500266,15,5.561871767044067
wine,5,4,10,92.50468311004138,12.317316131863274,6.1448412698414305,600.1739035344037,-0.00032136819066276183,3,5.561871767044067
wine,5,5,10,92.50468311004138,9.508107758960092,7.040079365079527,603.8072090188995,0.45356971295106,2,5.561871767044067
wine,5,6,10,92.50468311004138,7.363572437337648,17.982142857143025,607.4064966282601,0.7413657481799079,3,5.561871767044067
wine,5,7,10,92.50468311004138,8.798335610399556,17.232936507936667,611.4268888291034,0.42669240206064013,5,5.561871767044067
wine,5,8,10,92.50468311004138,6.98132289300078,20.315079365079537,613.4337946483355,0.7613805971985668,4,5.561871767044067
wine,5,9,10,92.50468311004138,8.922518413720153,13.0599206349208,614.7275456851073,0.432392869822847,4,5.561871767044067
wine,5,10,10,92.50468311004138,7.363572437337648,17.982142857143025,615.9529014173762,0.7413657481799079,3,5.561871767044067
wine,5,11,10,92.50468311004138,5.2080129607540275,78.94642857142874,622.4429881097583,0.4141589175480313,13,5.561871767044067
wine,5,12,10,92.50468311004138,6.432066229573248,31.44841269841287,622.9703469480914,0.7127927065134093,7,5.561871767044067
wine,5,13,10,92.50468311004138,5.201112932836443,83.41190476190492,623.6116152805128,0.3612826822703858,12,5.561871767044067
wine,5,14,10,92.50468311004138,5.025233514531218,92.6710317460319,623.9088308815667,0.3202675643252429,14,5.561871767044067
wine,5,15,10,92.50468311004138,5.759837374924137,55.772619047619216,624.9968030011447,0.5481627608970249,10,5.561871767044067
wine,5,16,10,92.50468311004138,9.284268326714733,9.898015873016035,627.1863057767058,0.44160473289876734,3,5.561871767044067
wine,5,17,10,92.50468311004138,9.146357845965511,10.201984126984293,627.2269070371673,0.4445688663091482,3,5.561871767044067
wine,5,18,10,92.50468311004138,12.725757972037629,2.8579365079366656,627.4089338725665,0.0052282501641613376,2,5.561871767044067
wine,5,19,10,92.50468311004138,12.589116168787744,3.2869047619049225,627.730466082649,-0.005179350377350294,2,5.561871767044067
wine,5,20,10,92.50468311004138,5.312743704218712,73.10634920634938,627.7638168518882,0.4413941988848804,12,5.561871767044067
wine,5,21,10,92.50468311004138,5.5887008644781835,60.97380952380969,627.8609833155666,0.5167389974653037,11,5.561871767044067
wine,5,22,10,92.50468311004138,6.6442195901507795,25.8785714285716,628.1508628544196,0.7320579119617528,6,5.561871767044067
wine,5,23,10,92.50468311004138,6.545330100177892,28.742857142857314,629.062748513523,0.729694575605391,6,5.561871767044067
wine,5,24,10,92.50468311004138,12.317316131863274,6.1448412698414305,629.4782773792455,-0.00032136819066276183,3,5.561871767044067
wine,5,25,10,92.50468311004138,6.757483460755423,23.173015873016045,629.6552839253546,0.7486786033402469,5,5.561871767044067
wine,5,26,10,92.50468311004138,6.868059022396136,23.020634920635093,629.6552839253546,0.7449036844459954,5,5.561871767044067
wine,5,27,10,92.50468311004138,8.840181744374425,16.47896825396842,629.6552839253546,0.4207036432911133,5,5.561871767044067
wine,5,28,10,92.50468311004138,6.6442195901507795,25.8785714285716,629.655298883288,0.7320579119617528,6,5.561871767044067
wine,5,29,10,92.50468311004138,6.545330100177892,28.742857142857314,629.655298883288,0.729694575605391,6,5.561871767044067
wine,5,30,10,92.50468311004138,8.922518413720153,13.0599206349208,629.655298883288,0.432392869822847,4,5.561871767044067
wine,5,31,10,92.50468311004138,5.5550288895052065,64.48611111111128,629.655298883288,0.4856947038088768,10,5.561871767044067
wine,5,32,10,92.50468311004138,12.725757972037629,2.8579365079366656,629.657225702319,0.0052282501641613376,2,5.561871767044067
wine,5,33,10,92.50468311004138,6.35355775234852,34.867460317460484,629.657225702319,0.7012526283299325,8,5.561871767044067
wine,5,34,10,92.50468311004138,12.589116168787744,3.2869047619049225,629.657225702319,-0.005179350377350294,2,5.561871767044067
