dataset,run,indiv,L,delta,VAR,CNN,HV,ARI,clusters,time
tevc_20_60_9,2,0,10,98.5260609923977,1.5438999963599822,0.0,76.28536678951662,0.0,1,27.390576124191284
tevc_20_60_9,2,1,10,98.5260609923977,0.5079552421918437,110.81150793650791,77.90806887767178,0.6966621896506451,68,27.390576124191284
tevc_20_60_9,2,2,10,98.5260609923977,0.5079552421918437,110.81150793650791,79.72769519142965,0.6966621896506451,68,27.390576124191284
tevc_20_60_9,2,3,10,98.5260609923977,1.4429650372855214,1.3583333333333054,81.61105625944805,0.006475120502283018,6,27.390576124191284
tevc_20_60_9,2,4,10,98.5260609923977,1.4010980420776622,2.7944444444444207,83.0214726285343,0.009881297546319763,9,27.390576124191284
tevc_20_60_9,2,5,10,98.5260609923977,0.8049479914927395,30.63571428571429,84.18942281278942,0.3370335980529579,38,27.390576124191284
tevc_20_60_9,2,6,10,98.5260609923977,0.7737892223805524,31.914682539682534,85.52131973622589,0.39248190804390154,40,27.390576124191284
tevc_20_60_9,2,7,10,98.5260609923977,1.2874191726377489,6.509126984126943,86.41356315774497,0.02224262756474516,16,27.390576124191284
tevc_20_60_9,2,8,10,98.5260609923977,0.5081092929879426,105.47301587301584,87.42807187901067,0.6968712836502026,67,27.390576124191284
tevc_20_60_9,2,9,10,98.5260609923977,0.5887093749453891,47.36309523809522,88.76632924405321,0.7309823027259862,49,27.390576124191284
tevc_20_60_9,2,10,10,98.5260609923977,1.1235789878291496,12.550793650793617,89.57318636488951,0.04109658213556395,22,27.390576124191284
tevc_20_60_9,2,11,10,98.5260609923977,0.6930613609494984,35.98849206349205,90.3371115058797,0.4892973947000767,45,27.390576124191284
tevc_20_60_9,2,12,10,98.5260609923977,1.2486984815156337,6.65079365079361,91.29880183387446,0.024625462790118062,17,27.390576124191284
tevc_20_60_9,2,13,10,98.5260609923977,0.5467216360042432,61.47817460317459,92.05155172886334,0.7412837383752017,55,27.390576124191284
tevc_20_60_9,2,14,10,98.5260609923977,1.0173608951098259,19.092063492063485,92.85626353721857,0.082521842218685,30,27.390576124191284
tevc_20_60_9,2,15,10,98.5260609923977,1.187096004958537,9.630555555555548,93.21063804326322,0.036633082808137485,20,27.390576124191284
tevc_20_60_9,2,16,10,98.5260609923977,0.6693703837511745,37.23809523809521,93.39282239564147,0.6374336320937449,44,27.390576124191284
tevc_20_60_9,2,17,10,98.5260609923977,0.5386074503437128,66.8424603174603,93.89848114172327,0.73573532670552,57,27.390576124191284
tevc_20_60_9,2,18,10,98.5260609923977,0.8216823164594869,29.302380952380933,94.33348062404005,0.42307442052393524,39,27.390576124191284
tevc_20_60_9,2,19,10,98.5260609923977,0.5495868940515841,59.47579365079364,94.72272876907033,0.7423994452335623,54,27.390576124191284
tevc_20_60_9,2,20,10,98.5260609923977,0.9011022368858893,25.51428571428572,94.98711486198191,0.15091660788523242,33,27.390576124191284
tevc_20_60_9,2,21,10,98.5260609923977,0.5364188975411991,69.2238095238095,95.22713069758834,0.7316680790267148,57,27.390576124191284
tevc_20_60_9,2,22,10,98.5260609923977,0.532834465931207,71.32261904761901,95.4165748276366,0.7320278110305889,58,27.390576124191284
tevc_20_60_9,2,23,10,98.5260609923977,1.1530301076668061,12.351190476190451,95.55298442984852,0.038884335532578515,21,27.390576124191284
tevc_20_60_9,2,24,10,98.5260609923977,1.001836486462575,21.351984126984117,95.93929439146066,0.09762789168032486,30,27.390576124191284
tevc_20_60_9,2,25,10,98.5260609923977,1.0901506278691222,15.118253968253944,96.0516901565228,0.0673532614945422,25,27.390576124191284
tevc_20_60_9,2,26,10,98.5260609923977,0.5161636605950636,84.8742063492063,96.26457097256511,0.7115343009919664,62,27.390576124191284
tevc_20_60_9,2,27,10,98.5260609923977,1.3694601554167043,2.919444444444402,96.35434159695316,0.013624971373810975,12,27.390576124191284
tevc_20_60_9,2,28,10,98.5260609923977,0.9470194992217016,23.79523809523809,96.59455961562362,0.1577860115887052,33,27.390576124191284
